Description,Category,Amount,Currency
"Upwork -514682310REF, +1",Software and subscription services,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-10.91,DKK
Pricerunner,Marketing and advertising,-353.75,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,-4000.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
"TotalEnergies NV TERSCHUUR, NL",Sale of Goods,-134.31,EUR
Dk3dsf22.03,Sale of Goods,591.4,DKK
Dk-Ind01.08,Sale of Goods,344.1,DKK
69307 - Partnerads,Marketing and advertising,-1500.0,DKK
Dk-Ind04.07,Sale of Goods,636.0,DKK
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,0.0,DKK
LeverandørService 53821MXNEY APS,Loans/ Debts,0.0,DKK
Dk-Ind11.05,Sale of Goods,780.75,DKK
Dk-Ind23.05,Sale of Goods,407.2,DKK
Advis 122304271203013 / Clearhaus AS,Sale of Goods,69054.82,DKK
10852425 Txid 722205795 Multisafepay Payout merchant:10852425 07-05-2023,Sale of Goods,1783.33,EUR
Dk-Ind12.04,Sale of Goods,246.15,DKK
Advis 122211251202393,Sale of Goods,63069.31,DKK
Dk3dsf16.03,Sale of Goods,334.35,DKK
MobilePay,Sale of Goods,-1900.0,DKK
Løn Henning,"Payroll, Salary & Retirement contributions",-13748.35,DKK
Dk3dsf09.05,Sale of Goods,638.6,DKK
Dk-Ind09.05,Sale of Goods,357.63,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
"FACEBK U2FBERXTK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
Dk-Ind25.07,Sale of Goods,1402.55,DKK
"Snap, 310-399-3339",Marketing and advertising,-10.79,DKK
Dk-Ind03.07,Sale of Goods,571.8,DKK
Dk-Ind12.08,Sale of Goods,340.23,DKK
Dk-Ind15.03,Sale of Goods,1278.4,DKK
Dk-Ind06.06,Sale of Goods,258.05,DKK
Udland - GUANGZHOU BEAUTYWELLNESS,Inventory / Equipment,0.0,DKK
Dk3dsf05.08,Sale of Goods,274.45,DKK
ALLERGICA,Inventory / Equipment,-3848.38,DKK
Dk3dsf18.06,Sale of Goods,323.4,DKK
Dk-Ind20.04,Sale of Goods,350.7,DKK
21565193MI 1030000762699133 ROLLZONE*,Inventory / Equipment,-160.02,EUR
-398.00 EUR to GoCardless,Loans/ Debts,-398.0,EUR
Dk-Ind20.07,Sale of Goods,194.4,DKK
Dk-Ind01.06,Sale of Goods,432.0,DKK
Dk-Ind08.05,Sale of Goods,96.25,DKK
Udland - GUANGZHOU BAIYUN TUYING,Inventory / Equipment,-42809.06,DKK
DanDomain A/S,Professional fees,-306.25,DKK
Dk3dsf03.07,Sale of Goods,81.6,DKK
Dk-Ind23.03,Sale of Goods,673.8,DKK
Dk-Ind17.05,Sale of Goods,197.3,DKK
DanDomain A/S,Professional fees,-1310.63,DKK
Dk3dsf17.05,Sale of Goods,940.8,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
"Udenlandsk overførsel til Adtraction AB 54614,21 DKK KRON230424006M8R",Transfer,-54614.21,DKK
Dk-Ind10.05,Sale of Goods,128.75,DKK
Dk-Ind08.05,Sale of Goods,238.4,DKK
Overførsel Hm Elteknik,Transfer,-14851.33,DKK
Dk3dsf01.05,Sale of Goods,1319.93,DKK
Dk-Ind26.05,Sale of Goods,632.3,DKK
Advis 122304051202373 / OVERFØRSEL,Sale of Goods,2270.26,DKK
SQB8AX 0030014136266650 bestelling Burger King Lijnbaa via,Nonbusiness costs,-20.6,EUR
"Snap, 310-399-3339",Marketing and advertising,-10.26,DKK
21045193MI 1030000754683531 ROLLZONE*,Inventory / Equipment,-147.56,EUR
Postering,Shipping & Logistics,-5292.3,DKK
"Snap, 310-399-3339",Marketing and advertising,-24.96,DKK
Dk-Ind09.07,Sale of Goods,2809.7,DKK
Dk-Ind17.05,Sale of Goods,276.9,DKK
Dk-Ind03.07,Sale of Goods,734.2,DKK
Dk-Ind29.06,Sale of Goods,629.1,DKK
Dk-Ind16.03,Sale of Goods,218.5,DKK
"Clearing: CLEARING-20234463339 (period May 202 / Funds: 534,05",Sale of Goods,534.05,EUR
Shipmondo.com (DK),Shipping & Logistics,-500.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
02004478940010607231,Sale of Goods,75.25,DKK
"FACEBK 6E4CDRBTK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
Dk-Ind12.06,Sale of Goods,290.3,DKK
21043193MI 1030000754681741 ROLLZONE*,Inventory / Equipment,-226.21,EUR
Dk-Ind20.07,Sale of Goods,92.45,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk-Ind17.05,Sale of Goods,58.45,DKK
Dk-Ind21.03,Sale of Goods,328.4,DKK
Dk3dsf24.04,Sale of Goods,1142.4,DKK
-3500.00 EUR to Mohammad Umair,Nonbusiness costs,-3500.0,EUR
21911193MI 1030000769428096 ROLLZONE*,Inventory / Equipment,-204.49,EUR
"VMO*Vimeo Starter, 646-490-1679",Software and subscription services,-1020.0,DKK
Dk-Ind27.04,Sale of Goods,682.5,DKK
Dk-Ind22.05,Sale of Goods,444.35,DKK
[ViaBill] Overførsel,Sale of Goods,321.11,DKK
Dk-Ind28.04,Sale of Goods,271.6,DKK
Dk-Ind23.03,Sale of Goods,735.3,DKK
Udland - GUANGZHOU BEAUTYWELLNESS,Inventory / Equipment,0.0,DKK
Dk3dsf22.07,Sale of Goods,733.53,DKK
"Snap, 310-399-3339",Marketing and advertising,-11.28,DKK
MobilePay Frisør Tårnby,Sale of Goods,-270.0,DKK
"Shopify* 148588519, Dublin",Software and subscription services,0.0,DKK
Dk-Ind03.07,Sale of Goods,616.1,DKK
Dk-Ind14.06,Sale of Goods,411.85,DKK
Advis 122304171203133 / OVERFØRSEL,Transfer,3557.5,DKK
-6650.00 EUR to UA Trading Company,Inventory / Equipment,-6650.0,EUR
Notanr,Debit-/Credit payments,-23.81,DKK
Dk-Ind11.08,Sale of Goods,660.8,DKK
Straksoverførsel pr 24-11-2022 til 4440 0012525656,Transfer,0.0,DKK
Dk-Ind16.03,Sale of Goods,123.1,DKK
Dk-Ind12.05,Sale of Goods,151.0,DKK
Anyday Settlement,Sale of Goods,5130.52,DKK
Dk3dsf26.06,Sale of Goods,452.5,DKK
Dk3dsf04.05,Sale of Goods,330.25,DKK
B20230630X002HJX000673282938 0030014417757816 Instapark NL52ABNA0554667061,Nonbusiness costs,-22.23,EUR
Dk-Ind28.06,Sale of Goods,159.7,DKK
Helsam,Inventory / Equipment,-32095.28,DKK
Dk-Ind28.06,Sale of Goods,413.1,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
CAMETTE APS,Inventory / Equipment,-1218.38,DKK
Dk3dsf07.06,Sale of Goods,74.45,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,0.0,DKK
Dk-Ind14.06,Sale of Goods,162.45,DKK
MobilePay: MobilePay Mathilde Gade,Sale of Goods,-800.0,DKK
"Shopify* 171754971, Dublin",Software and subscription services,-7.15,DKK
02004478940012407235,Sale of Goods,244.25,DKK
Dk-Ind12.04,Sale of Goods,546.0,DKK
Dk3dsf12.05,Sale of Goods,2204.6,DKK
10852425 Txid 728878803 Multisafepay Payout merchant:10852425 25-05-2023,Sale of Goods,4912.14,EUR
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind03.04,Sale of Goods,102.4,DKK
"Pensopay A/S, Vejle",Payment processing,0.0,DKK
Dk-Ind08.05,Sale of Goods,162.0,DKK
Notanr,Debit-/Credit payments,-25.0,DKK
Dk3dsf23.03,Sale of Goods,305.5,DKK
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,-18958.13,DKK
Dk-Ind03.07,Sale of Goods,217.9,DKK
Dk-Ind17.05,Sale of Goods,333.58,DKK
Dk3dsf19.04,Sale of Goods,254.95,DKK
Dk-Ind04.05,Sale of Goods,84.65,DKK
Dk-Ind22.08,Sale of Goods,512.1,DKK
Dk3dsf04.05,Sale of Goods,250.5,DKK
Dk-Ind04.05,Sale of Goods,2593.01,DKK
Dk-Ind05.07,Sale of Goods,679.85,DKK
Dk3dsf21.06,Sale of Goods,225.75,DKK
Dk3dsf25.04,Sale of Goods,975.95,DKK
"FACEBK Q6KGFHPTK2, fb.me/ads,",Marketing and advertising,0.0,DKK
Dk-Ind29.06,Sale of Goods,1046.25,DKK
"Snap, 310-399-3339",Marketing and advertising,-11.1,DKK
Dk3dsf21.08,Sale of Goods,696.5,DKK
6CQQLRW 0140000776364896 Alibaba,Inventory / Equipment,-962.44,EUR
Dk-Ind28.03,Sale of Goods,226.0,DKK
5P8KAUX 0140000776364590 Alibaba,Inventory / Equipment,-1399.03,EUR
"Lagkagehuset, Haderslev",Nonbusiness costs,-50.97,DKK
Dk-Ind01.05,Sale of Goods,671.35,DKK
Dk3dsf30.06,Sale of Goods,322.8,DKK
Dk-Ind11.08,Sale of Goods,440.1,DKK
Dk3dsf08.05,Sale of Goods,611.44,DKK
Dk-Ind01.06,Sale of Goods,184.45,DKK
Dk-Ind03.08,Sale of Goods,409.9,DKK
-1000.00 EUR to Mohammad Umair,Nonbusiness costs,-1000.0,EUR
"Skatteforvaltningen, Frederiksberg",VAT and income tax,-185.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Advis 122308221202089 / Credorax Bank Limite,Sale of Goods,8309.22,DKK
Dk-Ind11.04,Sale of Goods,466.5,DKK
Dk-Ind20.06,Sale of Goods,118.58,DKK
Dk3dsf30.06,Sale of Goods,517.48,DKK
Dk-Ind19.04,Sale of Goods,493.1,DKK
Dk3dsf11.04,Sale of Goods,983.4,DKK
Dk3dsf06.07,Sale of Goods,1061.1,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,-1718.61,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind05.04,Sale of Goods,407.8,DKK
"ADS4649893433, ccØgoogle.co",Marketing and advertising,0.0,DKK
Dk3dsf27.04,Sale of Goods,531.0,DKK
Dk-Ind20.07,Sale of Goods,413.5,DKK
Dk-Ind23.05,Sale of Goods,590.5,DKK
Dk3dsf20.03,Sale of Goods,1034.55,DKK
Dk3dsf19.08,Sale of Goods,200.58,DKK
Tryg,Insurance & association contributions,-163.17,DKK
Dk3dsf22.05,Sale of Goods,475.75,DKK
20788193MI 1030000751359561 ROLLZONE*,Inventory / Equipment,-170.55,EUR
Dk3dsf22.08,Sale of Goods,174.5,DKK
Dk3dsf30.07,Sale of Goods,1496.8,DKK
Dk-Ind10.08,Sale of Goods,2503.15,DKK
Dk3dsf24.04,Sale of Goods,173.5,DKK
-350.00 EUR to Mohammad Umair,Nonbusiness costs,-350.0,EUR
Dk-Ind18.06,Sale of Goods,567.91,DKK
Dk-Ind15.05,Sale of Goods,144.45,DKK
LeverandørService 58696MXNEY FINANCE APS,Loans/ Debts,-3472.37,DKK
Dk-Ind29.03,Sale of Goods,1402.75,DKK
Dk-Ind10.05,Sale of Goods,220.2,DKK
Dk3dsf11.04,Sale of Goods,265.5,DKK
Dk-Ind17.05,Sale of Goods,888.65,DKK
Dk-Ind14.07,Sale of Goods,206.5,DKK
20.00 EUR to UA Trading Company,Inventory / Equipment,20.0,EUR
Dk-Ind17.05,Sale of Goods,204.4,DKK
Dk-Ind20.06,Sale of Goods,133.2,DKK
10852425 Txid 739678161 Multisafepay Payout merchant:10852425 22-06-2023,Sale of Goods,2624.58,EUR
Postering,Shipping & Logistics,156.99,DKK
[ViaBill] Overførsel,Sale of Goods,362.48,DKK
Udland - SHENZHEN HUARUIBO PHOTOELECTRIC,Inventory / Equipment,-2999.09,DKK
Dk-Ind04.04,Sale of Goods,671.7,DKK
Dk-Ind03.07,Sale of Goods,455.93,DKK
Postering,Shipping & Logistics,-850.15,DKK
"ADS4649893433, ccØgoogle.co",Marketing and advertising,0.0,DKK
Dk3dsf11.05,Sale of Goods,283.5,DKK
Advis 122206161402046,Sale of Goods,7459.86,DKK
A vogel,Inventory / Equipment,-4185.75,DKK
Kontanten,Sale of Goods,5050.0,DKK
Dk-Ind18.07,Sale of Goods,225.95,DKK
Advis 122210171402017,Sale of Goods,0.0,DKK
Dk3dsf30.06,Sale of Goods,433.5,DKK
21491193MI 1030000761492971 ROLLZONE*,Inventory / Equipment,-190.27,EUR
-3100.00 EUR to UA Trading Company,Inventory / Equipment,-3100.0,EUR
Allergica,Inventory / Equipment,-2061.26,DKK
LeverandørService 58696MXNEY FINANCE APS,Loans/ Debts,-4886.25,DKK
Dk-Ind20.04,Sale of Goods,233.5,DKK
"FACEBK EFG46P3UK2, fb.me/ads,",Marketing and advertising,-6000.0,DKK
LeverandørService 53821MXNEY APS,Loans/ Debts,0.0,DKK
Dk-Ind29.06,Sale of Goods,236.8,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk-Ind04.08,Sale of Goods,615.7,DKK
Bjarne Hallstrøm,Sale of Goods,750.0,DKK
5500.00 EUR to UA Trading Company,Inventory / Equipment,5500.0,EUR
MobilePay A.Vogel Danmark A/S,Sale of Goods,-4616.26,DKK
Dk-Ind19.08,Sale of Goods,483.4,DKK
Dk-Ind27.03,Sale of Goods,518.95,DKK
"Postnord Porto, Koebenhavn S",Shipping & Logistics,0.0,DKK
Dk-Ind19.05,Sale of Goods,49.5,DKK
"Haan Postiljon DORDRECHT, NL",Shipping & Logistics,-2.0,EUR
PWD36R 0030014034780586 bestelling Kumpir Corner via,Inventory / Equipment,-31.23,EUR
[ViaBill] Overførsel,Sale of Goods,22023.0,DKK
Advis 122303011202265 / OVERFØRSEL,Sale of Goods,11035.57,DKK
Dk3dsf24.04,Sale of Goods,446.28,DKK
10852425 Txid 720402195 Multisafepay Payout merchant:10852425 02-05-2023,Sale of Goods,2024.29,EUR
Dk-Ind25.04,Sale of Goods,963.0,DKK
Afdrag varelager,Inventory / Equipment,-4500.0,DKK
"Upwork -575654282REF, Dublin",Software and subscription services,-1469.56,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind14.07,Sale of Goods,303.6,DKK
02004478940012807233,Sale of Goods,204.25,DKK
Dk-Ind14.06,Sale of Goods,308.4,DKK
9000.00 EUR to UA Trading Company,Inventory / Equipment,9000.0,EUR
21427193MI 1030000760316757 ROLLZONE*,Inventory / Equipment,-238.67,EUR
Dk-Ind10.04,Sale of Goods,399.6,DKK
Advis 122304031203201 / OVERFØRSEL,Sale of Goods,7545.16,DKK
"FiverrEU, Nicosia",Professional fees,-314.05,DKK
Dk-Ind13.04,Sale of Goods,1325.15,DKK
3000.00 EUR to UA Trading Company,Inventory / Equipment,3000.0,EUR
Dk3dsf26.06,Sale of Goods,139.5,DKK
Dk-Ind28.06,Sale of Goods,527.2,DKK
Dk-Ind17.05,Sale of Goods,148.7,DKK
Dk-Ind26.05,Sale of Goods,648.0,DKK
Afdrag varelager,Inventory / Equipment,-1500.0,DKK
Dk-Ind25.04,Sale of Goods,330.45,DKK
Postering,Shipping & Logistics,-255.11,DKK
Dk-Ind27.03,Sale of Goods,472.5,DKK
Dk3dsf23.03,Sale of Goods,393.25,DKK
Dk-Ind08.05,Sale of Goods,335.5,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk3dsf25.05,Sale of Goods,115.45,DKK
Dk-Ind27.07,Sale of Goods,185.5,DKK
Dk3dsf17.04,Sale of Goods,1255.65,DKK
21384193MI 1030000759931645 ROLLZONE*,Inventory / Equipment,-147.92,EUR
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,-3616.25,DKK
"Pensopay A/S, Vejle",Payment processing,-122.5,DKK
Dk-Ind04.05,Sale of Goods,624.9,DKK
Dk3dsf27.04,Sale of Goods,195.05,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk3dsf18.06,Sale of Goods,249.7,DKK
Dk-Ind28.06,Sale of Goods,622.4,DKK
Dk-Ind22.05,Sale of Goods,196.25,DKK
Dk-Ind21.06,Sale of Goods,118.45,DKK
Dk-Ind15.07,Sale of Goods,82.95,DKK
CAMETTE APS,Inventory / Equipment,-1437.5,DKK
Dk-Ind02.06,Sale of Goods,515.4,DKK
Postering,Shipping & Logistics,-85.0,DKK
Dk-Ind16.06,Sale of Goods,285.6,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,0.0,DKK
Dk3dsf04.05,Sale of Goods,338.35,DKK
"Alibaba.com, Luxembourg",Inventory / Equipment,0.0,DKK
"ADS4649893433, ccØgoogle.co",Marketing and advertising,-1130.55,DKK
-9000.00 EUR to UA Trading Company,Inventory / Equipment,-9000.0,EUR
"GSUITE_vitio.dk, Dublin",Software and subscription services,0.0,DKK
"Pensopay A/S, Vejle",Payment processing,-137.5,DKK
Dk-Ind09.05,Sale of Goods,753.6,DKK
Dk-Ind07.07,Sale of Goods,131.95,DKK
Helsam,Inventory / Equipment,-21400.0,DKK
Dk3dsf23.05,Sale of Goods,622.05,DKK
Dk-Ind15.08,Sale of Goods,170.45,DKK
Dk-Ind12.07,Sale of Goods,193.25,DKK
Dk-Ind15.05,Sale of Goods,178.1,DKK
Dk3dsf17.03,Sale of Goods,611.15,DKK
"Shopify* 148588519, Dublin",Software and subscription services,-215.62,DKK
Dk3dsf23.08,Sale of Goods,1441.55,DKK
Pinterest Ads,Marketing and advertising,-69.96,DKK
Dk-Ind11.05,Sale of Goods,238.45,DKK
Dk3dsf23.05,Sale of Goods,432.9,DKK
Dk-Ind15.06,Sale of Goods,201.8,DKK
Dk-Ind17.04,Sale of Goods,835.4,DKK
Dk3dsf26.06,Sale of Goods,357.1,DKK
Advis 122211281202554,Sale of Goods,0.0,DKK
Dk-Ind28.06,Sale of Goods,125.2,DKK
Dk-Ind03.04,Sale of Goods,269.1,DKK
"Pensopay A/S, Vejle",Payment processing,-122.5,DKK
LeverandørService 53821MXNEY APS,Loans/ Debts,-5018.64,DKK
Advis 122302030137191 / F:30/MS Branding A/S,Sale of Goods,0.0,DKK
Dk-Ind03.07,Sale of Goods,419.25,DKK
Dk-Ind30.05,Sale of Goods,2244.0,DKK
21423193MI 1030000760314857 ROLLZONE*,Inventory / Equipment,-170.91,EUR
Dk-Ind31.05,Sale of Goods,414.8,DKK
Dk-Ind01.08,Sale of Goods,154.1,DKK
Dk-Ind16.08,Sale of Goods,236.8,DKK
"FACEBK DQN6CMXWC2, fb.me/ads",Marketing and advertising,0.0,DKK
Dk-Ind01.08,Sale of Goods,291.1,DKK
"FACEBK 7686BETTK2, fb.me/ads",Marketing and advertising,0.0,DKK
Dk-Ind28.04,Sale of Goods,735.16,DKK
SVEA FINANS A/S,Loans/ Debts,0.0,DKK
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,-8330.93,DKK
Dk-Ind23.08,Sale of Goods,512.19,DKK
Dk-Ind13.04,Sale of Goods,549.6,DKK
Anyday Settlement,Sale of Goods,0.0,DKK
"7-Eleven B068, Randers Sv",Nonbusiness costs,-121.0,DKK
Dk-Ind18.08,Sale of Goods,669.95,DKK
Overførsel,Transfer,0.0,DKK
Fra Total-Tjek,Nonbusiness costs,6000.0,DKK
"Clerk.Io* Clerk.Io, Copenhagen S",Software and subscription services,-4610.26,DKK
Dk-Ind17.05,Sale of Goods,179.3,DKK
"Ads5180743448, 650-253-0000",Marketing and advertising,-4000.0,DKK
Postering,Shipping & Logistics,-105.0,DKK
-500.00 EUR to Mohammad Umair,Nonbusiness costs,-500.0,EUR
Dk-Ind10.07,Sale of Goods,824.45,DKK
Leverandørservice 56294 SM LOGISTIK APS,Shipping & Logistics,0.0,DKK
Advis 122307141202317 / Credorax Bank Limite,Sale of Goods,4159.63,DKK
"Upwork -563888582REF, Dublin",Software and subscription services,0.0,DKK
"Sikkerhedsstyre, Esbjerg",Nonbusiness costs,-105.0,DKK
Dk-Ind12.05,Sale of Goods,164.45,DKK
Dk-Ind01.08,Sale of Goods,505.25,DKK
Dk3dsf01.05,Sale of Goods,104.95,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
LeverandørService 53821MXNEY APS,Loans/ Debts,-10283.46,DKK
Dk3dsf05.04,Sale of Goods,352.25,DKK
Dk-Ind21.03,Sale of Goods,273.7,DKK
Dk-Ind29.06,Sale of Goods,656.1,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,-288.13,DKK
Dk-Ind26.05,Sale of Goods,257.9,DKK
Dk-Ind09.07,Sale of Goods,279.3,DKK
Dk-Ind31.03,Sale of Goods,348.8,DKK
Dk-Ind28.04,Sale of Goods,322.15,DKK
Dk-Ind04.05,Sale of Goods,258.3,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
"Auto Hopper Rotterdam Rotterdam, NL","Rent, mortgage & utilities",-779.08,EUR
2900.00 EUR to UA Trading Company,Inventory / Equipment,2900.0,EUR
Dk-Ind25.04,Sale of Goods,413.7,DKK
Dk-Ind03.08,Sale of Goods,1038.6,DKK
Dk-Ind17.05,Sale of Goods,152.3,DKK
Advertising,Marketing and advertising,-1029.58,DKK
Dk-Ind01.06,Sale of Goods,401.0,DKK
Dk-Ind24.04,Sale of Goods,240.9,DKK
Dk-Ind30.07,Sale of Goods,102.4,DKK
Dk-Ind11.04,Sale of Goods,118.65,DKK
Dk-Ind11.08,Sale of Goods,551.6,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk-Ind03.05,Sale of Goods,208.05,DKK
Afdrag varelager,Inventory / Equipment,-4500.0,DKK
"Gsuite Vitio.Dk, Cc Google.Com",Marketing and advertising,-80.0,DKK
Udland - GUANGZHOU BEAUTYWELLNESS HEALTH,Inventory / Equipment,0.0,DKK
Dk3dsf05.04,Sale of Goods,2344.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-12.78,DKK
Tryg,Insurance & association contributions,-163.17,DKK
Dk3dsf30.05,Sale of Goods,3290.7,DKK
Dk-Ind20.08,Sale of Goods,110.0,DKK
Postering,Shipping & Logistics,-105.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind03.07,Sale of Goods,256.3,DKK
Dk-Ind21.03,Sale of Goods,2290.95,DKK
Dk-Ind10.08,Sale of Goods,237.7,DKK
Dk-Ind06.06,Sale of Goods,122.1,DKK
Dk-Ind05.08,Sale of Goods,131.4,DKK
"GSUITE_vitio.dk, Dublin",Software and subscription services,-80.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind11.05,Sale of Goods,244.65,DKK
Dk-Ind17.05,Sale of Goods,66.15,DKK
Dk3dsf28.04,Sale of Goods,258.3,DKK
Dk-Ind14.06,Sale of Goods,456.9,DKK
20789193MI 1030000751360854 ROLLZONE*,Inventory / Equipment,-168.13,EUR
Dk-Ind17.05,Sale of Goods,225.11,DKK
Dk-Ind19.05,Sale of Goods,187.45,DKK
"Tinq Goedereede Provin Goedereede, Nl",Nonbusiness costs,-122.89,EUR
Dk-Ind17.07,Sale of Goods,200.0,DKK
Dk-Ind08.05,Sale of Goods,175.7,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk3dsf26.06,Sale of Goods,477.3,DKK
-6100.00 EUR to UA Trading Company,Inventory / Equipment,-6100.0,EUR
Dk-Ind22.05,Sale of Goods,899.5,DKK
10852425 Txid 745712513 Multisafepay Payout merchant:10852425 07-07-2023,Sale of Goods,2089.99,EUR
Dk-Ind19.04,Sale of Goods,419.6,DKK
Afdrag varelager,Inventory / Equipment,-4500.0,DKK
Notanr,Debit-/Credit payments,-25.0,DKK
10852425 Txid 730018271 Multisafepay Payout merchant:10852425 28-05-2023,Sale of Goods,1677.35,EUR
-50.00 EUR to Mohammad Umair,Nonbusiness costs,-50.0,EUR
Dk-Ind19.05,Sale of Goods,286.5,DKK
Dk-Ind14.06,Sale of Goods,310.15,DKK
"FACEBK 6M95QSTZK2, fb.me/ads,",Marketing and advertising,-2104.85,DKK
Dk-Ind27.04,Sale of Goods,283.2,DKK
Dk-Ind15.06,Sale of Goods,152.1,DKK
Helsam,Inventory / Equipment,-55223.71,DKK
"Shopify* 146712456, Dublin",Software and subscription services,-247.46,DKK
Dk-Ind03.05,Sale of Goods,576.7,DKK
Dk3dsf23.06,Sale of Goods,395.25,DKK
Dk3dsf20.07,Sale of Goods,242.0,DKK
"Shopify* 148330042, Dublin",Software and subscription services,-1554.06,DKK
Dk-Ind10.05,Sale of Goods,177.45,DKK
Udland - GUANGZHOU BEAUTYWELLNESS,Inventory / Equipment,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Anyday Settlement,Sale of Goods,340.78,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk3dsf01.06,Sale of Goods,577.0,DKK
Advis 122211301202249,Sale of Goods,41904.85,DKK
Dk-Ind20.03,Sale of Goods,1637.05,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind03.08,Sale of Goods,125.45,DKK
Dk-Ind06.08,Sale of Goods,183.0,DKK
Dk3dsf29.03,Sale of Goods,118.65,DKK
Dk-Ind27.03,Sale of Goods,814.7,DKK
Advertising,Marketing and advertising,-186.52,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
20816193MI 1030000751683930 ROLLZONE*,Inventory / Equipment,-189.91,EUR
Dk3dsf22.05,Sale of Goods,307.2,DKK
Dk3dsf15.07,Sale of Goods,402.8,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
"Shopify* 180272129, Dublin",Software and subscription services,-201.51,DKK
"FACEBK 4DHZ7LFTK2, fb.me/ads,",Marketing and advertising,-1457.39,DKK
Dk-Ind19.06,Sale of Goods,798.4,DKK
Dk-Ind08.06,Sale of Goods,122.7,DKK
"Haan Postiljon DORDRECHT, NL",Shipping & Logistics,-2.0,EUR
NZ4726262 1030000753881343 N-Z4726262 - HBM Machines B.V.,Sale of Goods,-33.48,EUR
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk3dsf26.05,Sale of Goods,224.03,DKK
-10.00 EUR to Mohammad Umair,Nonbusiness costs,-10.0,EUR
Fra Total-Tjek fak,Nonbusiness costs,3000.0,DKK
Dk-Ind24.04,Sale of Goods,131.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind25.05,Sale of Goods,183.0,DKK
Dk-Ind05.08,Sale of Goods,612.7,DKK
Dk3dsf27.04,Sale of Goods,250.5,DKK
B20230623X002HJX000669112303 0030014340558386 Instapark NL52ABNA0554667061,Nonbusiness costs,-25.68,EUR
20678193MI 1030000749438737 ROLLZONE*,Inventory / Equipment,-228.63,EUR
10852425 Txid 740112667 Multisafepay Payout merchant:10852425 23-06-2023,Sale of Goods,3393.61,EUR
Dk-Ind11.05,Sale of Goods,423.7,DKK
"Clearing: CLEARING-20234457218, CLEARING-20234 / Funds: 188,00",Sale of Goods,188.0,EUR
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
MobilePay A.Vogel Danmark A/S,Sale of Goods,-4381.4,DKK
Nordic Premium Group,Inventory / Equipment,-3186.0,DKK
Dk3dsf15.05,Sale of Goods,193.4,DKK
Tryg,Insurance & association contributions,-163.17,DKK
"Shopify* 167390624, Dublin",Software and subscription services,-3670.16,DKK
Advis 122302221203396 / OVERFØRSEL,Transfer,0.0,DKK
"Kapwing Pro Plan, Newark",Software and subscription services,-138.49,DKK
Dk-Ind27.07,Sale of Goods,178.4,DKK
